"iso_code","location","date","people_fully_vaccinated_per_hundred","stringency_index","population","population_density","median_age","gdp_per_capita"
"AFG","Afghanistan",2022-01-24,9.67,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-01-25,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-01-26,9.71,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-01-27,9.71,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-01-28,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-01-29,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-01-30,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-01-31,9.77,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-01,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-02,9.82,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-03,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-04,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-05,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-06,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-07,9.94,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-08,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-09,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-10,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-11,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-12,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-13,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-14,10.15,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-15,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-16,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-17,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-18,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-19,NA,19.44,39835428,54.422,18.6,1803.987
"AFG","Afghanistan",2022-02-20,10.36,19.44,39835428,54.422,18.6,1803.987
"OWID_AFR","Africa",2021-11-22,6.88,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-11-23,6.9,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-11-24,6.98,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-11-25,6.99,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-11-26,7.02,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-11-27,7.02,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-11-28,7.12,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-11-29,7.19,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-11-30,7.23,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-01,7.24,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-02,7.32,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-03,7.36,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-04,7.45,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-05,7.47,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-06,7.54,NA,1373486472,NA,NA,NA
"OWID_AFR","Africa",2021-12-07,7.55,NA,1373486472,NA,NA,NA
