"Country","Week","pm25","humidity","temperature","windspeed"
"UG",2022 W04,161,73,23,2.8
"UG",2022 W05,157,82,22,2.5
"UG",2022 W06,132,75.5,23,2.3
"UG",2022 W07,119,78,24,4.1
"UG",2022 W08,107,73,24,3.8
"US",2021 W47,29,63.25,7.8,2.5
"US",2021 W48,34.5,72.6,9.5,2
"US",2021 W49,34,72.65,7.25,2.6
"US",2021 W50,28.5,73.5,8.55,2.2
"US",2021 W51,28,74.1,6.1,2.75
"US",2021 W52,30,84.25,7.7,2.15
"US",2022 W01,30,72.75,3.55,2.65
"US",2022 W02,34.5,66.7,4,2.5
"US",2022 W03,30.5,70.6,2.1,2.8
"US",2022 W04,37.5,63.6,2,2
"US",2022 W05,34,66,4.4,2.6
"US",2022 W06,34,63,6.4,2.3
"US",2022 W07,27,57.5,6.6,3.4
"US",2022 W08,29,69.8,5,2.7
"UZ",2021 W47,152,65.5,7,2
"UZ",2021 W48,112,56,7.5,2
"UZ",2021 W49,168,66.5,7,1.5
"UZ",2021 W50,119,80,3,2
"UZ",2021 W51,93,69.5,8.5,3
"UZ",2021 W52,119,82.75,2.5,1.5
"UZ",2022 W01,80,93,5,2.5
"UZ",2022 W02,89,75,7,2
"UZ",2022 W03,76,81,3.5,2
"UZ",2022 W04,119,72.5,2.5,2.5
"UZ",2022 W05,109,47,4,2.5
"UZ",2022 W06,85,80,4,2
"UZ",2022 W07,80,45,4.5,2.5
"UZ",2022 W08,127,49.5,9.5,2.5
"VN",2021 W47,68,67.1,19.6,2
"VN",2021 W48,89,67,19,2
"VN",2021 W49,107,74.5,19.7,1.8
"VN",2021 W50,80,74.9,19.5,2
"VN",2021 W51,85,82,19,1.8
"VN",2021 W52,57,86.7,15.7,2
"VN",2022 W01,87,85.65,20,1.5
"VN",2022 W02,72,85.1,17,1.8
"VN",2022 W03,100,85,18.25,1.5
"VN",2022 W04,61,89.75,22.5,2
"VN",2022 W05,50.5,71,14.5,2.5
"VN",2022 W06,65.5,89.25,19.45,2.4
"VN",2022 W07,72,93,17.45,2
"VN",2022 W08,65,78.4,14.75,2
"XK",2021 W47,68,80.2,6.2,2.1
"XK",2021 W48,55,79.7,3.9,1.9
"XK",2021 W49,65,84,3.8,2.6
"XK",2021 W50,68,81.9,-0.2,5
"XK",2021 W51,78,72.3,0,1.5
"XK",2021 W52,107,81.1,5.4,1.5
"XK",2022 W01,87,76.2,6.1,1.3
"XK",2022 W02,93,79.1,-2.7,6.3
"XK",2022 W03,82,74.5,-1.7,2.3
"XK",2022 W04,119,76.5,-1.2,1
"XK",2022 W05,84,73,0.1,1.5
"XK",2022 W06,85,74,3.7,1.5
"XK",2022 W07,85,70.5,6.7,1.5
"XK",2022 W08,61,68,3,6.1
"ZA",2021 W47,29,79.8,19.2,3.35
"ZA",2021 W48,33.5,71.2,20.3,2.6
"ZA",2021 W49,35,79.05,20.4,2.25
"ZA",2021 W50,28.5,75,17.9,2.3
"ZA",2021 W51,33,79.8,20,2.05
"ZA",2021 W52,32,77.3,20.9,1.9
"ZA",2022 W01,35.5,75.4,20.7,1.9
"ZA",2022 W02,38,80.7,21.3,1.9
"ZA",2022 W03,48,76.5,21,2.2
"ZA",2022 W04,39.5,81,21.7,2
"ZA",2022 W05,32.5,81.1,20.3,2
"ZA",2022 W06,49.5,67.5,21.8,1.5
"ZA",2022 W07,49,75.35,21,1.7
"ZA",2022 W08,50,74.7,21.15,1.7
